Medicine_ID,Medicine_Name,Main_Ingredients,Used_For,Dosage,Form,Manufacturer,Price,Availability_Status,Expiry_Date,Side_Effects,Approval_Status
AYUR15711,Triphala-Learn,"Triphala, Guggul, Turmeric, Amla",Acidity,5 ml twice daily,Tablet,VedicLife Pharma,388.44,Out of Stock,2027-10-27,Headache,Approved
AYUR11362,Brahmi-Perform,"Triphala, Ashwagandha",Acidity,1 tablet twice daily,Oil,HerbalCure Labs,396.07,Out of Stock,2027-07-01,Allergic Reaction,Approved
AYUR17951,Arjuna-Available,"Shatavari, Tulsi, Amla",Acidity,1 spoon after meal,Oil,AyurHealth Ltd.,386.8,In Stock,2026-09-08,Allergic Reaction,Approved
AYUR13904,Brahmi-Someone,"Arjuna, Neem",Acidity,1 tablet twice daily,Capsule,HerbalCure Labs,479.85,In Stock,2030-02-04,Headache,Approved
AYUR04998,Licorice-Buy,"Tulsi, Guduchi",Acidity,1 spoon after meal,Powder,Swasthya Remedies,376.57,In Stock,2029-11-29,Nausea,Under Review
AYUR19630,Shatavari-Significant,"Giloy, Shatavari, Turmeric, Guggul",Acidity,5 ml twice daily,Powder,AyurHealth Ltd.,280.01,In Stock,2029-06-24,Headache,Approved
AYUR04857,Turmeric-Reality,"Neem, Pippali",Acidity,1 spoon after meal,Syrup,NatureRoot Medics,359.49,Out of Stock,2027-08-19,Allergic Reaction,Under Review
AYUR06626,Neem-Art,"Licorice, Amla",Acidity,2 capsules once daily,Syrup,VedicLife Pharma,162.75,Out of Stock,2029-11-22,Drowsiness,Approved
AYUR10299,Shatavari-Range,"Turmeric, Guduchi",Acidity,Apply externally once a day,Capsule,OrganicVeda,313.83,Out of Stock,2028-07-31,Nausea,Under Review
AYUR18535,Turmeric-Place,"Triphala, Ashwagandha, Tulsi, Guggul",Acidity,5 ml twice daily,Powder,Swasthya Remedies,145.09,Out of Stock,2027-06-09,Drowsiness,Approved
AYUR16486,Amla-Agree,"Arjuna, Licorice, Neem",Acidity,Apply externally once a day,Capsule,NatureRoot Medics,426.8,In Stock,2029-03-11,None,Approved
AYUR13426,Triphala-Effort,"Tulsi, Arjuna",Acidity,1 tablet twice daily,Syrup,Swasthya Remedies,340.3,Out of Stock,2027-07-16,Headache,Approved
AYUR10586,Tulsi-Ask,"Neem, Turmeric",Acidity,5 ml twice daily,Syrup,Divya Herbal,298.43,Out of Stock,2028-03-23,Nausea,Approved
AYUR11344,Licorice-Part,"Ashwagandha, Shatavari, Arjuna",Acidity,Apply externally once a day,Capsule,Swasthya Remedies,267.42,In Stock,2030-01-23,Allergic Reaction,Approved
AYUR04986,Giloy-Election,"Guduchi, Ashwagandha, Neem",Acidity,1 spoon after meal,Powder,Ayurveda Bliss,188.59,In Stock,2030-03-26,Drowsiness,Approved
AYUR01180,Amla-Behavior,"Neem, Giloy, Tulsi",Acidity,Apply externally once a day,Oil,NatureRoot Medics,409.92,In Stock,2030-06-18,Allergic Reaction,Under Review
AYUR12159,Turmeric-Almost,"Arjuna, Guggul",Acidity,1 spoon after meal,Powder,Divya Herbal,352.76,In Stock,2026-07-04,Drowsiness,Approved
AYUR11315,Arjuna-Fund,"Turmeric, Ashwagandha",Acidity,5 ml twice daily,Capsule,VedicLife Pharma,361.45,Out of Stock,2026-09-27,Nausea,Approved
AYUR10785,Neem-Could,"Shatavari, Giloy, Pippali, Brahmi",Acidity,5 ml twice daily,Syrup,AyurHealth Ltd.,351.72,Out of Stock,2028-12-31,Drowsiness,Approved
